date,open,high,low,close,volume
201010110900,295.01,295.05,294.5,294.77,46281
201010110930,294.74,296.69,294.74,296.14,3076383
201010111000,296.11,297.12,295.9,296.9,2151679
201010111030,296.9,297,295.6,296.04,1325234
201010111100,296.02,296.46,295.85,296.24,678372
201010111130,296.27,296.62,295.92,296.07,656544
201010111200,296.1,296.47,295.9,296.35,424484
201010111230,296.34,296.82,296.26,296.6,422908
201010111300,296.6,296.76,296.4,296.59,315503
201010111330,296.62,296.93,296.5,296.81,441464
201010111400,296.85,296.89,296.56,296.73,401253
201010111430,296.73,297.24,296.57,296.95,1150885
201010111500,296.95,297.08,295.59,295.68,1323061
201010111530,295.67,295.83,294.6,295.36,2136985
201010111600,295.48,296.11,295.36,295.61,487063
201010111630,295.67,296.11,295.44,295.44,27024
201010120900,296.02,296.2,295.36,295.41,59520
201010120930,295.41,296.69,292.49,293.58,3855342
201010121000,293.58,295.75,293.5,295.35,2013098
201010121030,295.35,297.2,295.33,296.9,1786297
201010121100,296.89,297.73,296.58,297.11,1461589
201010121130,297.11,297.32,296.56,297.04,667070
201010121200,297.03,297.37,296.82,296.83,654920
201010121230,296.88,297.1,296.73,296.93,422403
201010121300,296.95,297.05,296.78,296.99,285427
201010121330,296.96,297,296.61,296.92,362190
201010121400,296.96,298.1,296.5,297.25,2150794
201010121430,297.3,297.66,296.57,297.62,981164
201010121500,297.59,298.98,297,298.89,1862748
201010121530,298.91,299.5,298.44,298.74,2425833
201010121600,298.74,299.28,298.25,299.02,471367
201010121630,298.95,299.19,298.54,298.86,24258
201010130900,300.95,300.95,300,300.1,129305
201010130930,300.2,301.72,300,301.24,4063275
201010131000,301.25,301.78,300.51,301.1,2217207
201010131030,301.08,301.35,300.68,301.34,1115134
201010131100,301.32,301.96,300.86,301.3,1725922
201010131130,301.28,301.5,301.11,301.38,686648
201010131200,301.38,301.52,301.16,301.42,588385
201010131230,301.41,301.48,300.8,300.89,708890
201010131300,300.91,300.97,300,300.37,1492966
201010131330,300.38,301.1,300.29,300.71,794176
201010131400,300.72,301.2,300.48,300.74,974545
201010131430,300.72,301,299.8,300.64,1567926
201010131500,300.63,301.1,300.12,300.62,1238142
201010131530,300.58,300.87,299.93,300.08,1695388
201010131600,300.14,300.85,300.14,300.15,499713
201010131630,300.15,301.11,300.08,301.11,1931084
201010140900,302.27,302.31,301,301.35,115421
201010140930,301.69,302.12,300.4,300.72,3055988
201010141000,300.72,302.21,300.6,301.86,1599212
201010141030,301.83,302.47,301.7,302.16,957147
201010141100,302.17,302.3,301.45,301.79,885843
201010141130,301.8,301.88,301.35,301.7,997051
201010141200,301.68,302,301.2,301.37,675978
201010141230,301.37,301.61,300.88,301.36,718704
201010141300,301.39,301.4,300.52,301.17,989527
201010141330,301.18,301.68,300.96,301.58,674755
201010141400,301.54,301.58,301.02,301.05,458658
201010141430,301.05,301.25,300.8,300.94,683729
201010141500,300.95,301.6,300.65,301.36,835128
201010141530,301.37,302.3,301.36,302.27,1468475
201010141600,302.25,304.74,301.8,304.71,531814
201010141630,304.74,305.4,300.14,305.24,134161
201010150900,305.9,307.4,305.26,307.33,234764
201010150930,307.44,307.45,304.91,306.92,5864503
201010151000,306.98,307.05,305.25,306.42,2927127
201010151030,306.41,307.81,305.92,307.68,1881482
201010151100,307.68,309.55,307.3,309.43,2961271
201010151130,309.42,310.47,309.39,309.46,2651410
201010151200,309.46,310.1,309.1,309.74,1423089
201010151230,309.72,310,309.37,309.42,1110784
201010151300,309.42,310.04,309.4,309.95,665723
201010151330,309.99,310.26,309.6,310.2,1259064
201010151400,310.16,310.25,309.75,310.15,1030849
201010151430,310.17,310.87,310.11,310.79,1731393
201010151500,310.78,310.82,310.15,310.67,1572511
201010151530,310.68,315,310.6,314.97,5527285
201010151600,315,315.47,314.5,315.3,834950
201010151630,315.25,315.99,315,315.9,143171
201010180900,318.75,318.91,318.15,318.47,210221
201010180930,318.47,319,314.29,317.33,7508155
201010181000,317.35,317.9,316.1,316.93,3067044
201010181030,316.92,317.02,316.31,316.75,1821987
201010181100,316.78,316.95,316,316.77,1676820
201010181130,316.79,316.79,315.94,316.29,1520581
201010181200,316.29,316.77,316.14,316.6,1065223
201010181230,316.62,316.73,315,315.14,1891935
